Tên sách,Giá,Đã bán,Đánh giá,Link hình ảnh
Truyện Lẻ - Thế giới của Peppa  ( Bộ 10 Cuốn ),27000,55,5.0,https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lgx2k3sl7yszea_tn
Sách KĐ - Combo Thế giới của Peppa (10 quyển),240000,10,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-lep94lwfyrw216_tn
Truyện Tranh - Thế giới của Peppa - Bộ 2 ( Bộ 10 Cuốn Lẻ ),27000,54,3.0,https://down-vn.img.susercontent.com/file/vn-11134201-23030-xovzqtvrhzov8e_tn
